GitHub Copilot	GitHub/Microsoft	https://github.com/features/copilot	name=GitHub Copilot
OpenAI Codex	OpenAI	https://openai.com/codex	domain=openai.com
Claude Code	Anthropic	https://claude.com/product/claude-code	name=Claude Code
Gemini Code Assist	Google	https://codeassist.google	name=Gemini Code Assist
Gemini CLI	Google	https://google-gemini.github.io/gemini-cli/	name=Gemini CLI
Jules	Google	https://jules.google	name=Jules
Google Antigravity	Google	https://antigravity.google	domain=antigravity.google
Google Stitch	Google	https://stitch.withgoogle.com	domain=stitch.withgoogle.com
Firebase Studio	Google	https://firebase.studio	name=Firebase Studio
Kiro	Amazon/AWS	https://kiro.dev	name=Kiro
Amazon Q Developer	Amazon/AWS	https://aws.amazon.com/q/developer/	name=Amazon Q Developer CLI
Visual Studio / VS Code Copilot agent mode	Microsoft	https://code.visualstudio.com	domain=code.visualstudio.com
JetBrains AI Assistant	JetBrains	https://www.jetbrains.com/ai/	domain=jetbrains.com
Junie	JetBrains	https://www.jetbrains.com/junie/	name=Junie CLI
GitLab Duo Agent Platform	GitLab	https://about.gitlab.com/gitlab-duo/	domain=about.gitlab.com
Snowflake Copilot	Snowflake	https://www.snowflake.com	domain=snowflake.com
v0	Vercel	https://v0.dev	name=v0 (Vercel)
Warp	Warp	https://www.warp.dev	name=Warp
Amp	Sourcegraph	https://ampcode.com	name=Amp
Mistral Code	Mistral AI	https://mistral.ai/products/mistral-code	domain=mistral.ai
Cursor	Anysphere	https://cursor.com	name=Cursor
Cursor Bugbot	Anysphere	https://cursor.com/bugbot	domain=cursor.com
Windsurf / Devin Desktop	Cognition	https://windsurf.com	name=Windsurf (Codeium)
Devin	Cognition	https://devin.ai	name=Devin AI
PearAI	PearAI	https://trypear.ai	name=PearAI
Trae	ByteDance	https://www.trae.ai	name=Trae Agent
Qoder	Alibaba	https://qoder.com	name=Qoder
Tongyi Lingma	Alibaba	https://tongyi.aliyun.com/lingma	name=Tongyi Lingma
CodeBuddy	Tencent	https://www.codebuddy.ai	name=codebuddy
CodeArts Snap	Huawei	https://www.huaweicloud.com/product/codeartside/snap.html	domain=huaweicloud.com
iFlyCode	iFlytek	https://iflycode.xfyun.cn	name=iFlyCode
JoyCode	JD.com	https://joycode.jd.com	name=JoyCode
NoCode	Meituan	https://nocode.cn	fuzzy(0.92)=NeoCode
aiXcoder	aiXcoder	https://www.aixcoder.com	name=aiXcoder
Fitten Code	Fittentech	https://code.fittentech.com	name=Fitten Code
Manus	Butterfly Effect (Manus AI)	https://manus.im	name=Manus
Genspark AI Developer	Genspark	https://www.genspark.ai	name=Genspark AI Developer
Atoms	DeepWisdom (MetaGPT/MGX)	https://atoms.dev	domain=atoms.dev
Kimi CLI	Moonshot AI	https://github.com/MoonshotAI/kimi-cli	name=Kimi CLI
Factory	Factory AI	https://factory.ai	name=Factory
Augment Code	Augment	https://www.augmentcode.com	name=Augment Code
Cosine	Cosine	https://cosine.sh	domain=cosine.sh
Engine Labs	Engine	https://enginelabs.ai	domain=enginelabs.ai
OpenHands	All Hands AI	https://www.all-hands.dev	name=OpenHands
Emergent	Emergent	https://emergent.sh	name=Emergent
Sweep	Sweep AI	https://sweep.dev	name=Sweep
