GitHub Copilot coding agent	GitHub/Microsoft	https://github.com/features/copilot	repo=features/copilot
Claude Code Review	Anthropic	https://claude.com/product/claude-code	domain=claude.com
Azure SRE Agent	Microsoft	https://azure.microsoft.com	domain=azure.microsoft.com
Now Assist for Creator	ServiceNow	https://www.servicenow.com	domain=servicenow.com
watsonx Code Assistant	IBM	https://www.ibm.com/products/watsonx-code-assistant	domain=ibm.com
watsonx Code Assistant for Z	IBM	https://www.ibm.com/products/watsonx-code-assistant-z	domain=ibm.com
Vercel Agent	Vercel	https://vercel.com/agent	domain=vercel.com
Imbue	Imbue	https://imbue.com	name
Lovable	Lovable	https://lovable.dev	domain=lovable.dev
Replit Agent	Replit	https://replit.com	name
Magically	Magically	https://magically.life	name
Onlook	Onlook (YC W25)	https://onlook.com	domain=onlook.com
Octomind	Octomind	https://www.octomind.dev	name
Qodex	Qodex.ai	https://qodex.ai	domain=qodex.ai
TestDriver	TestDriver	https://testdriver.ai	domain=testdriver.ai
Docket	Docket (YC X25)	https://www.ycombinator.com/companies/docket	name
Diffblue Cover	Diffblue	https://www.diffblue.com	name
Semgrep Assistant	Semgrep	https://semgrep.dev	name
Dosu	Dosu	https://dosu.dev	name
Julius	Julius AI	https://julius.ai	name
Hex Magic	Hex	https://hex.tech	name
Bloop	Bloop AI	https://bloop.ai	name
Nx Self-Healing CI	Nx (Nrwl)	https://nx.dev	domain=nx.dev
CoStrict	zgsm-ai	https://marketplace.visualstudio.com/items?itemName=zgsm-ai.zgsm	name
OpenClaw	shenyingjun5	https://open-vsx.org/extension/shenyingjun5/openclaw	name
GPT Runner - Chatgpt & Claude	nicepkg	https://marketplace.visualstudio.com/items?itemName=nicepkg.gpt-runner	name
LM Studio Code	Corey Gaspard	https://marketplace.visualstudio.com/items?itemName=cgaspard.lmstudio-code	name
Agent Dock	EdgarsR	https://plugins.jetbrains.com/plugin/31508-agent-dock	name
Agent CLI	Sajith Edirisinghe	https://plugins.jetbrains.com/plugin/31117-agent-cli	name
